Altium Designer Pick and Place Locations
D:\SVN\PT061\A15_MCU_tools\PY32_StartKit\PY32_START_V2\PY32F002BF1xP_START_V2.0\hardware\Project Outputs for PY32F002BF1xP_START\Pick Place for PY32F002BF1xP_START.csv

========================================================================================================================
File Design Information:

Date:       19/06/25
Time:       11:33
Revision:   7950
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R53","680R","TopLayer","R0603","25.8572","94.3864","90",""
"CN7","CON4","TopLayer","CON4","42.9514","50.4698","270",""
"CN6","CON4","TopLayer","CON4","2.0574","50.4952","270",""
"CN3","CON10","TopLayer","CON10","2.0574","70.8152","270",""
"CN4","CON10","TopLayer","CON10","42.9514","70.8152","270",""
"R44","0R","BottomLayer","JP2_SMD","5.4194","74.6249","0",""
"JP3","CON4","TopLayer","CON4","8.2550","42.0878","0",""
"R50","0R","TopLayer","JP2_SMD","15.4084","66.6493","180",""
"R49","0R","TopLayer","JP2_SMD","15.4084","69.2147","180",""
"R40","0R","TopLayer","JP2_SMD","15.3762","64.9989","0",""
"R39","0R","TopLayer","JP2_SMD","15.3762","70.9171","0",""
"LED_PA1","GREEN","TopLayer","0603_LED","23.6982","94.5007","90",""
"U11","ESDALC6V1-1U2","TopLayer","ESD_ST0201","41.9100","8.5090","0","ESD protection 6V1"
"U9","LM1117F-3.3","TopLayer","SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR","10.0684","3.0989","0",""
"U21","ESDALC6V1-1U2","TopLayer","ESD_ST0201","15.2908","93.8530","180","ESD protection 6V1"
"U20","ESDALC6V1-1U2","TopLayer","ESD_ST0201","31.3436","93.8530","180","ESD protection 6V1"
"R30","16K","TopLayer","R0603","4.9022","12.8270","270","0603WAF1602T5E 16K¶∏(1602) °¿1%"
"R25","16K","TopLayer","R0603","32.0040","6.7564","270","0603WAF1602T5E 16K¶∏(1602) °¿1%"
"R5","1M","BottomLayer","R0603","28.3210","29.7180","90",""
"R56","1.5K","TopLayer","R0603","14.8590","92.7100","0",""
"R55","0R","BottomLayer","JP2_SMD","39.8434","74.4985","180",""
"R42","10K","TopLayer","R0603","30.8864","92.7100","0",""
"LED_VDD*","RED","TopLayer","0603_LED","21.4630","94.5007","90",""
"F1","JK-SMD0805-050-16V","BottomLayer","F0805","11.3284","10.3632","180",""
"CN2","CON5","TopLayer","CON5","33.8836","9.4742","0",""
"C1","4.7nF","BottomLayer","C0603","21.9964","3.0226","180",""
"C31","100nF","TopLayer","C0603","14.8336","91.1606","0",""
"C28","100nF","TopLayer","C0603","30.8864","91.1606","0",""
"R38","680R","TopLayer","R0603","19.3548","94.6122","270",""
"R52","0R","BottomLayer","JP2_SMD","39.8434","77.4703","180",""
"R51","0R","BottomLayer","JP2_SMD","5.4194","64.4395","0",""
"CN5","Header 5","TopLayer","HDR1X5","23.3492","41.6449","180","Header, 5-Pin"
"C27","0.1uF/50V","TopLayer","0603C","23.7617","63.3476","180","Capacitor"
"C30","22pF","TopLayer","0603C","11.5824","64.9478","180","Capacitor"
"U18","PY32F002BF15Px","TopLayer","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL","23.6974","68.0877","270","TSSOP20"
"U19","P25Q64H/NC","BottomLayer","SOP-8P","23.0378","80.6958","0","SST25VF010"
"1","TP_SIN","TopLayer","TP_SIN","2.2611","15.9495","90",""
"R36","10K","BottomLayer","R0603","28.5242","15.8496","180",""
"R33","0R","TopLayer","JP2_SMD","14.4006","13.6337","90",""
"CN1","2X5P","TopLayer","HDR2X5","23.2410","33.7820","180",""
"R24","4.7K","TopLayer","R0603","29.5910","6.7310","270",""
"R9","680R","TopLayer","R0603","4.8260","18.0340","0",""
"Q1","2302","TopLayer","SOT23","2.2700","26.6040","90","MOSFET N"
"U5","74LVC1T45DW","TopLayer","SOT363","39.0668","32.1310","0",""
"R47","0R/NC","BottomLayer","JP2_SMD","39.8107","72.9675","0",""
"C29","22pF","TopLayer","0603C","11.5824","71.0184","0","Capacitor"
"Y2","32.768KHz","TopLayer","CRYSTAL-SMD_L3.2-W1.5-1","12.4459","67.9196","270","Crystal"
"Y1","24MHz","TopLayer","CRYSTAL-SMD_4P-L3.2-W2.5-BL","34.2931","18.0340","270","°¿20ppm , 12.5pF , T_use: -40°„C~125°„C"
"PYLK","KH-TYPE-C-16P","TopLayer","USB-C-SMD_KH-TYPE-C-16P","22.2301","5.4562","0",""
"U17","P25Q64H","TopLayer","SOP-8P","41.4020","24.0030","180","SST25VF010"
"U16","MT9700","TopLayer","SOT23-5","3.8100","9.0170","0",""
"U15","PY32F403C1xT","TopLayer","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL","21.9710","19.8120","90","LQFP48"
"U14","74LVC1T45DW","TopLayer","SOT363","9.6188","32.0040","0",""
"U13","MT9700","TopLayer","SOT23-5","30.7340","3.8100","90",""
"U12","74LVC1T45DW","TopLayer","SOT363","12.4491","32.0040","0",""
"U10","74LVC1T45DW","TopLayer","SOT363","41.8971","32.1310","0",""
"U8","74LVC1T45DW","TopLayer","SOT363","6.7885","32.0040","0",""
"U7","74LVC1T45DW","TopLayer","SOT363","3.9001","32.0040","0",""
"U6","USBLC6-2SC6","TopLayer","SOT23-6","13.0810","7.8740","90",""
"U4","ESD_6V1","BottomLayer","ESD_SOT323-5L","24.2570","29.5910","270","Dual Transil array for ESD protection"
"U3","ESD_6V1","BottomLayer","ESD_SOT323-5L","19.9390","29.5910","90","Dual Transil array for ESD protection"
"U2","74LVC1T45DW","TopLayer","SOT363","33.4063","32.1310","0",""
"U1","74LVC1T45DW","TopLayer","SOT363","36.2366","32.1310","0",""
"R48","0R/NC","BottomLayer","JP2_SMD","5.4521","76.0037","180",""
